organization_name,pkg_type,error_count,contact_emails
afm-kanton-zuerich,dcat,11,info@open.zh.ch
are-kanton-zuerich,dcat,98,info@open.zh.ch
awel-kanton-zuerich,dcat,595,info@open.zh.ch
bildungsstatistik-kanton-zuerich,dcat,64,info@open.zh.ch
bundesamt-fur-kommunikation-bakom,dcat,90,matthias.braendli@bakom.admin.ch patrick.heer@bakom.admin.ch nick.eichmann@bakom.admin.ch
bundesamt-fur-landwirtschaft-blw,dcat,402,pascal.hurni@blw.admin.ch i14y@bfs.admin.ch daniela.hostettler@blw.admin.ch
bundesamt-fur-umwelt-bafu,dcat,1260,Veronique.Ortner@bafu.admin.ch i14y@bfs.admin.ch nico.rohrbach@bafu.admin.ch Sabine.Zeller@bafu.admin.ch
cnai,dcat,3,i14y@bfs.admin.ch
digitale_medien_der_armee_dma,dcat,155,roger.perren@vtg.admin.ch stefan.fluekiger@vtg.admin.ch thomas.schneiter@lambda-it.ch wayne.maurer@lambda-it.ch edi.spring@lambda-it.ch
eidgenossische-finanzverwaltung-efv,dcat,6,i14y@bfs.admin.ch
ekz,dcat,7,laure.stadler@statistik.ji.zh.ch
elcom,dcat,48,opendata@bfs.admin.ch
envidat,dcat,8289,envidat@wsl.ch
fachstelle-ogd-kanton-zuerich,dcat,465,info@open.zh.ch
finanzverwaltung-kanton-zuerich,dcat,8,info@open.zh.ch
gemeindeamt-kanton-zuerich,dcat,8,info@open.zh.ch
gesundheitsdirektion-kanton-zuerich,dcat,132,info@open.zh.ch
handelsregisteramt-kanton-zuerich,dcat,19,info@open.zh.ch
identitas,dcat,2272,kosuke.ueda@identitas.ch ulla.heikkilae@identitas.ch
ima-kanton-zuerich,dcat,10,info@open.zh.ch
kanton-basel-landschaft,dcat,9324,roman.meyer@bl.ch ogd@bl.ch marc.battaglia@bl.ch
kanton-basel-stadt,dcat,26958,jonas.bieri@bs.ch Boris.Djakovic@bs.ch jonas.eckenfels@bs.ch
kanton-st-gallen,dcat,1785,nicola.wullschleger@stadt.sg.ch erich.gollino@stadt.sg.ch simon.knuesel@sg.ch
kanton-thurgau,dcat,23104,felix.lorenz@tg.ch bernd.hebel@tg.ch daniela.koller@tg.ch ogd@tg.ch
kantonspolizei-kanton-zuerich,dcat,62,info@open.zh.ch
kof-konjunkturforschungsstelle,dcat,182,bisinger@kof.ethz.ch omueller@kof.ethz.ch
lustat,dcat,25,i14y@bfs.admin.ch
oberjugendanwaltschaft-kanton-zuerich,dcat,39,info@open.zh.ch
oevch,dcat,1505,OpenData@sbb.ch
personalamt-kanton-zuerich,dcat,48,info@open.zh.ch
schweizerische-bundesbahnen-sbb,dcat,2720,christian.trachsel@sbb.ch
schweizerische-nationalbibliothek-nb,dcat,4,i14y@bfs.admin.ch
schweizerisches-bundesarchiv-bar,dcat,25,Marco.Majoleth@bar.admin.ch
ssd,dcat,6198,Artur.Stefaniuk@fr.ch Valentin.Monney@fr.ch Eric.Meyer@fr.ch
staatsarchiv-kanton-zuerich,dcat,129,info@open.zh.ch
staatskanzlei-glarus,dcat,71,martin.jenny@gl.ch
staatskanzlei-kanton-zuerich,dcat,16,info@open.zh.ch
staatskanzlei-zug,dcat,992,konrad.roelz@zg.ch philipp.ernst@zg.ch andreas.fuchs@zg.ch info@seantis.ch
stadt-st-gallen,dcat,13620,erich.gollino@stadt.sg.ch nicola.wullschleger@stadt.sg.ch ogd@stadt.sg.ch simon.knuesel@sg.ch
stadt-uster,dcat,44,laure.stadler@statistik.ji.zh.ch
stadt-winterthur,dcat,298,laure.stadler@statistik.ji.zh.ch
standeskanzlei-graubuenden,dcat,181,thomas.hardegger@staka.gr.ch
statistisches-amt-kanton-zuerich,dcat,3279,info@open.zh.ch
swiss-emobility,dcat,6,i14y@bfs.admin.ch
tiefbauamt-kanton-zuerich,dcat,11,info@open.zh.ch
volksschulamt-kanton-zuerich,dcat,7,info@open.zh.ch
