organization_name,pkg_type,error_count,contact_emails
afm-kanton-zuerich,dcat,11,info@open.zh.ch
are-kanton-zuerich,dcat,97,info@open.zh.ch
awel-kanton-zuerich,dcat,570,info@open.zh.ch
bildungsstatistik-kanton-zuerich,dcat,75,info@open.zh.ch
bundesamt-fur-energie-bfe,dcat,1,i14y@bfs.admin.ch
bundesamt-fur-kommunikation-bakom,dcat,1020,nick.eichmann@bakom.admin.ch patrick.heer@bakom.admin.ch matthias.braendli@bakom.admin.ch
bundesamt-fur-landwirtschaft-blw,dcat,580,i14y@bfs.admin.ch daniela.hostettler@blw.admin.ch pascal.hurni@blw.admin.ch lea.stauber@blw.admin.ch
bundesamt-fur-umwelt-bafu,dcat,1372,nico.rohrbach@bafu.admin.ch Veronique.Ortner@bafu.admin.ch i14y@bfs.admin.ch Sabine.Zeller@bafu.admin.ch
cnai,dcat,3,i14y@bfs.admin.ch
digitale_medien_der_armee_dma,dcat,155,wayne.maurer@lambda-it.ch thomas.schneiter@lambda-it.ch roger.perren@vtg.admin.ch edi.spring@lambda-it.ch stefan.fluekiger@vtg.admin.ch
eidgenossische-finanzverwaltung-efv,dcat,6,i14y@bfs.admin.ch
ekz,dcat,5,laure.stadler@statistik.ji.zh.ch
elcom,dcat,48,opendata@bfs.admin.ch
envidat,dcat,8843,envidat@wsl.ch
fachstelle-ogd-kanton-zuerich,dcat,418,info@open.zh.ch
finanzverwaltung-kanton-zuerich,dcat,7,info@open.zh.ch
gemeindeamt-kanton-zuerich,dcat,7,info@open.zh.ch
gesundheitsdirektion-kanton-zuerich,dcat,186,info@open.zh.ch
handelsregisteramt-kanton-zuerich,dcat,15,info@open.zh.ch
identitas,dcat,2272,kosuke.ueda@identitas.ch ulla.heikkilae@identitas.ch
ima-kanton-zuerich,dcat,7,info@open.zh.ch
kanton-basel-landschaft,dcat,10398,ogd@bl.ch roman.meyer@bl.ch marc.battaglia@bl.ch
kanton-basel-stadt,dcat,28920,jonas.bieri@bs.ch Boris.Djakovic@bs.ch jonas.eckenfels@bs.ch
kanton-graubuenden,dcat,174,yanik.kipfer@awt.gr.ch
kanton-st-gallen,dcat,1650,erich.gollino@stadt.sg.ch simon.knuesel@sg.ch nicola.wullschleger@stadt.sg.ch
kanton-thurgau,dcat,23984,bernd.hebel@tg.ch felix.lorenz@tg.ch daniela.koller@tg.ch ogd@tg.ch
kantonspolizei-kanton-zuerich,dcat,64,info@open.zh.ch
kof-konjunkturforschungsstelle,dcat,182,omueller@kof.ethz.ch bisinger@kof.ethz.ch
lustat,dcat,25,i14y@bfs.admin.ch
oberjugendanwaltschaft-kanton-zuerich,dcat,39,info@open.zh.ch
oevch,dcat,1691,OpenData@sbb.ch
personalamt-kanton-zuerich,dcat,47,info@open.zh.ch
schweizerische-bundesbahnen-sbb,dcat,2680,christian.trachsel@sbb.ch
schweizerische-nationalbibliothek-nb,dcat,4,i14y@bfs.admin.ch
schweizerisches-bundesarchiv-bar,dcat,25,Marco.Majoleth@bar.admin.ch
ssd,dcat,6198,Valentin.Monney@fr.ch Eric.Meyer@fr.ch Artur.Stefaniuk@fr.ch
staatsarchiv-kanton-zuerich,dcat,102,info@open.zh.ch
staatskanzlei-glarus,dcat,71,martin.jenny@gl.ch
staatskanzlei-kanton-zuerich,dcat,12,info@open.zh.ch
staatskanzlei-zug,dcat,1020,konrad.roelz@zg.ch philipp.ernst@zg.ch andreas.fuchs@zg.ch info@seantis.ch
stadt-st-gallen,dcat,13960,erich.gollino@stadt.sg.ch simon.knuesel@sg.ch nicola.wullschleger@stadt.sg.ch ogd@stadt.sg.ch
stadt-uster,dcat,39,laure.stadler@statistik.ji.zh.ch
stadt-winterthur,dcat,288,laure.stadler@statistik.ji.zh.ch
standeskanzlei-graubuenden,dcat,186,thomas.hardegger@staka.gr.ch
statistisches-amt-kanton-zuerich,dcat,3239,info@open.zh.ch
swiss-emobility,dcat,6,i14y@bfs.admin.ch
swissmedic,dcat,4,i14y@bfs.admin.ch
tiefbauamt-kanton-zuerich,dcat,9,info@open.zh.ch
volksschulamt-kanton-zuerich,dcat,7,info@open.zh.ch
