organization_name,pkg_type,error_count,contact_emails
abteilung-uebertragbare-krankheiten,dcat,54,idd@bag.admin.ch anne.laube@bag.admin.ch
afm-kanton-zuerich,dcat,11,info@open.zh.ch
are-kanton-zuerich,dcat,98,info@open.zh.ch
awel-kanton-zuerich,dcat,595,info@open.zh.ch
bildungsstatistik-kanton-zuerich,dcat,64,info@open.zh.ch
bundesamt-fur-kommunikation-bakom,dcat,90,matthias.braendli@bakom.admin.ch nick.eichmann@bakom.admin.ch patrick.heer@bakom.admin.ch
bundesamt-fur-landwirtschaft-blw,dcat,130,i14y@bfs.admin.ch
bundesamt-fur-statistik-bfs,dcat,1015,OGD@bfs.admin.ch
bundesamt-fur-umwelt-bafu,dcat,315,i14y@bfs.admin.ch
digitale_medien_der_armee_dma,dcat,155,edi.spring@lambda-it.ch stefan.fluekiger@vtg.admin.ch wayne.maurer@lambda-it.ch roger.perren@vtg.admin.ch thomas.schneiter@lambda-it.ch
ekz,dcat,7,laure.stadler@statistik.ji.zh.ch
elcom,dcat,48,opendata@bfs.admin.ch
envidat,dcat,8091,envidat@wsl.ch
fachstelle-ogd-kanton-zuerich,dcat,465,info@open.zh.ch
finanzverwaltung-kanton-zuerich,dcat,8,info@open.zh.ch
gemeindeamt-kanton-zuerich,dcat,8,info@open.zh.ch
gesundheitsdirektion-kanton-zuerich,dcat,132,info@open.zh.ch
handelsregisteramt-kanton-zuerich,dcat,19,info@open.zh.ch
identitas,dcat,1136,tierstatistik@identitas.ch
ima-kanton-zuerich,dcat,10,info@open.zh.ch
kanton-basel-landschaft,dcat,2808,ogd@bl.ch
kanton-basel-stadt,dcat,9106,opendata@bfs.admin.ch
kanton-st-gallen,dcat,595,opendata@bfs.admin.ch
kanton-thurgau,dcat,20848,ogd@tg.ch felix.lorenz@tg.ch bernd.hebel@tg.ch daniela.koller@tg.ch
kantonspolizei-kanton-zuerich,dcat,62,info@open.zh.ch
kof-konjunkturforschungsstelle,dcat,182,bisinger@kof.ethz.ch omueller@kof.ethz.ch
oberjugendanwaltschaft-kanton-zuerich,dcat,39,info@open.zh.ch
oevch,dcat,4072,OpenData@sbb.ch
personalamt-kanton-zuerich,dcat,48,info@open.zh.ch
schweizerische-bundesbahnen-sbb,dcat,2645,data@sbb.ch geoinformation@bfe.admin.ch
schweizerisches-bundesarchiv-bar,dcat,25,Marco.Majoleth@bar.admin.ch
ssd,dcat,2044,opendata.fr.ch statfr@fr.ch opendata@fr.ch
staatsarchiv-kanton-zuerich,dcat,129,info@open.zh.ch
staatskanzlei-glarus,dcat,71,opendata@bfs.admin.ch
staatskanzlei-kanton-zuerich,dcat,16,info@open.zh.ch
staatskanzlei-zug,dcat,992,konrad.roelz@zg.ch andreas.fuchs@zg.ch philipp.ernst@zg.ch info@seantis.ch
stadt-st-gallen,dcat,13620,nicola.wullschleger@stadt.sg.ch ogd@stadt.sg.ch simon.knuesel@sg.ch erich.gollino@stadt.sg.ch
stadt-uster,dcat,44,laure.stadler@statistik.ji.zh.ch
stadt-winterthur,dcat,284,laure.stadler@statistik.ji.zh.ch
standeskanzlei-graubuenden,dcat,181,opendata@bfs.admin.ch
statistisches-amt-kanton-zuerich,dcat,3252,info@open.zh.ch
tiefbauamt-kanton-zuerich,dcat,11,info@open.zh.ch
volksschulamt-kanton-zuerich,dcat,7,info@open.zh.ch
