organization_name,pkg_type,error_count,contact_emails
abteilung-uebertragbare-krankheiten,dcat,54,idd@bag.admin.ch anne.laube@bag.admin.ch
afm-kanton-zuerich,dcat,11,info@open.zh.ch
are-kanton-zuerich,dcat,98,info@open.zh.ch
awel-kanton-zuerich,dcat,595,info@open.zh.ch
bildungsstatistik-kanton-zuerich,dcat,64,info@open.zh.ch
bundesamt-fur-kommunikation-bakom,dcat,90,patrick.heer@bakom.admin.ch matthias.braendli@bakom.admin.ch nick.eichmann@bakom.admin.ch
bundesamt-fur-landwirtschaft-blw,dcat,130,i14y@bfs.admin.ch
bundesamt-fur-statistik-bfs,dcat,1567,OGD@bfs.admin.ch
bundesamt-fur-umwelt-bafu,dcat,315,i14y@bfs.admin.ch
digitale_medien_der_armee_dma,dcat,31,opendata@bfs.admin.ch
ekz,dcat,7,laure.stadler@statistik.ji.zh.ch
elcom,dcat,48,opendata@bfs.admin.ch
envidat,dcat,8091,envidat@wsl.ch
fachstelle-ogd-kanton-zuerich,dcat,465,info@open.zh.ch
finanzverwaltung-kanton-zuerich,dcat,8,info@open.zh.ch
gemeindeamt-kanton-zuerich,dcat,8,info@open.zh.ch
gesundheitsdirektion-kanton-zuerich,dcat,132,info@open.zh.ch
handelsregisteramt-kanton-zuerich,dcat,19,info@open.zh.ch
identitas,dcat,2272,kosuke.ueda@identitas.ch ulla.heikkilae@identitas.ch
ima-kanton-zuerich,dcat,10,info@open.zh.ch
kanton-basel-landschaft,dcat,2808,ogd@bl.ch
kanton-basel-stadt,dcat,27204,Boris.Djakovic@bs.ch jonas.eckenfels@bs.ch jonas.bieri@bs.ch
kanton-st-gallen,dcat,595,nicola.wullschleger@stadt.sg.ch
kanton-thurgau,dcat,20848,bernd.hebel@tg.ch ogd@tg.ch daniela.koller@tg.ch felix.lorenz@tg.ch
kantonspolizei-kanton-zuerich,dcat,62,info@open.zh.ch
kof-konjunkturforschungsstelle,dcat,91,data@kof.ethz.ch
oberjugendanwaltschaft-kanton-zuerich,dcat,39,info@open.zh.ch
oevch,dcat,4000,OpenData@sbb.ch
personalamt-kanton-zuerich,dcat,48,info@open.zh.ch
schweizerische-bundesbahnen-sbb,dcat,2683,opendata@bfs.admin.ch
schweizerisches-bundesarchiv-bar,dcat,25,Marco.Majoleth@bar.admin.ch
ssd,dcat,6066,Artur.Stefaniuk@fr.ch Valentin.Monney@fr.ch Eric.Meyer@fr.ch
staatsarchiv-kanton-zuerich,dcat,129,info@open.zh.ch
staatskanzlei-glarus,dcat,71,martin.jenny@gl.ch
staatskanzlei-kanton-zuerich,dcat,16,info@open.zh.ch
staatskanzlei-zug,dcat,992,konrad.roelz@zg.ch philipp.ernst@zg.ch info@seantis.ch andreas.fuchs@zg.ch
stadt-st-gallen,dcat,3405,opendata@bfs.admin.ch
stadt-uster,dcat,44,quartier@uster.ch kindheit@uster.ch Kultursekretariat@Uster.ch
stadt-winterthur,dcat,284,opendata@bfs.admin.ch
standeskanzlei-graubuenden,dcat,181,thomas.hardegger@staka.gr.ch
statistisches-amt-kanton-zuerich,dcat,3248,info@open.zh.ch
tiefbauamt-kanton-zuerich,dcat,11,info@open.zh.ch
ustat,dcat,210,sandro.burri@ti.ch
volksschulamt-kanton-zuerich,dcat,7,info@open.zh.ch
